id,value,weight,volume,category
140,1036,300,179,cat_3
141,2244,111,186,cat_0
142,660,17,129,cat_3
143,2337,136,258,cat_1
144,2444,58,96,cat_3
145,727,262,184,cat_4
146,2058,124,179,cat_0
147,1205,146,63,cat_2
148,1325,257,32,cat_1
149,1634,118,185,cat_3
150,1349,295,185,cat_2
151,1300,246,51,cat_0
152,1006,77,169,cat_3
153,1802,155,269,cat_2
154,891,22,127,cat_4
155,593,89,299,cat_4
156,1855,105,26,cat_2
157,1077,288,20,cat_2
158,2802,158,287,cat_0
159,1670,164,167,cat_3
160,2920,7,15,cat_3
161,1044,96,241,cat_1
162,2796,126,312,cat_1
163,434,27,271,cat_0
164,2104,6,208,cat_4
165,2423,216,22,cat_4
166,3121,65,231,cat_1
167,1161,11,161,cat_1
168,1818,129,292,cat_2
169,909,26,58,cat_0
170,2801,290,185,cat_0
171,1132,291,272,cat_1
172,1817,159,258,cat_1
173,2254,78,279,cat_3
174,2349,289,219,cat_1
175,397,156,294,cat_3
176,828,175,185,cat_4
177,1678,275,32,cat_1
178,1484,156,302,cat_1
179,2022,237,241,cat_2
180,725,134,112,cat_1
181,1596,256,293,cat_0
182,2173,93,24,cat_3
183,2594,295,92,cat_1
184,2496,151,152,cat_0
185,981,284,69,cat_2
186,472,289,213,cat_0
187,2504,121,315,cat_4
188,1507,120,260,cat_1
189,3149,112,67,cat_1
190,2940,264,57,cat_0
191,2635,176,31,cat_0
192,1223,40,179,cat_3
193,3132,46,243,cat_1
194,3124,304,163,cat_4
195,598,65,221,cat_3
196,2169,126,199,cat_3
197,1013,147,129,cat_3
198,593,192,129,cat_0
199,1052,234,221,cat_3
200,2526,153,92,cat_0
201,536,311,3,cat_2
202,519,202,27,cat_0
203,1929,260,232,cat_2
204,2584,169,144,cat_1
205,2477,215,213,cat_3
206,1501,213,107,cat_3
207,2969,52,217,cat_2
208,53,21,226,cat_2
209,2418,262,252,cat_3
210,1434,125,199,cat_4
211,395,280,202,cat_0
212,1966,89,132,cat_2
213,1412,248,99,cat_4
214,1705,56,131,cat_1
215,1518,261,245,cat_4
216,1412,116,38,cat_2
217,2239,280,154,cat_0
218,3013,291,208,cat_4
219,2968,307,86,cat_3
220,691,144,52,cat_3
221,2063,55,156,cat_4
222,1025,8,280,cat_2
223,1770,277,222,cat_3
224,2373,247,180,cat_1
225,2021,192,296,cat_4
226,1385,199,163,cat_4
227,422,221,100,cat_3
228,482,136,77,cat_3
229,1311,183,236,cat_2
230,1251,211,314,cat_2
231,560,60,145,cat_4
232,876,239,48,cat_2
233,2844,174,236,cat_1
234,78,97,77,cat_1
235,841,225,262,cat_4
236,2676,246,314,cat_0
237,1366,164,200,cat_0
238,1075,185,243,cat_4
239,3122,13,183,cat_2
240,1430,53,149,cat_2
241,2373,125,215,cat_0
242,1074,255,116,cat_1
243,406,273,274,cat_3
244,712,210,66,cat_1
245,495,307,127,cat_1
246,2399,130,227,cat_2
247,475,119,303,cat_0
248,1744,234,160,cat_4
249,1432,212,94,cat_1
250,2550,135,169,cat_2
251,17,177,3,cat_3
252,1783,172,51,cat_3
253,2696,313,232,cat_1
254,2236,133,35,cat_0
255,3033,276,294,cat_1
256,2899,141,219,cat_2
257,1613,93,251,cat_3
258,4,264,303,cat_2
259,2954,192,118,cat_1
260,2362,63,6,cat_4
261,2038,178,225,cat_1
262,68,110,70,cat_4
263,681,143,88,cat_0
264,1763,297,13,cat_4
265,2569,172,267,cat_1
266,1962,158,120,cat_0
267,1187,47,89,cat_3
268,461,57,107,cat_0
269,526,147,242,cat_1
270,1440,121,28,cat_0
271,2754,149,254,cat_1
272,2874,203,164,cat_1
273,645,35,54,cat_0
274,1968,196,298,cat_1
275,446,14,195,cat_1
276,2407,292,155,cat_0
277,655,269,71,cat_0
278,2937,203,213,cat_3
279,2082,286,5,cat_2
280,2969,178,163,cat_2
281,1212,113,155,cat_4
282,1909,309,253,cat_2
283,1826,46,198,cat_0
284,941,270,164,cat_0
285,150,168,46,cat_2
286,2828,169,120,cat_4
287,2415,98,162,cat_3
288,420,201,75,cat_3
289,1250,179,241,cat_2
290,521,198,41,cat_4
291,1573,28,116,cat_0
292,1310,94,1,cat_0
293,233,62,238,cat_1
294,2130,280,5,cat_2
295,269,95,226,cat_0
296,136,80,177,cat_4
297,474,18,219,cat_1
298,2088,216,135,cat_3
299,2791,78,246,cat_2
300,1664,114,57,cat_3
301,1034,236,203,cat_2
302,1202,70,64,cat_1
303,1655,192,89,cat_0
304,499,213,13,cat_2
305,835,285,162,cat_0
306,162,106,313,cat_3
307,3095,33,156,cat_2
308,857,77,282,cat_0
309,2038,254,283,cat_4
310,489,40,291,cat_3
311,1677,79,190,cat_1
312,2637,174,248,cat_0
313,2734,48,203,cat_1
314,2148,106,210,cat_2
315,1950,13,250,cat_4
316,2672,117,90,cat_1
317,469,214,217,cat_4
318,2132,65,107,cat_1
319,1068,125,265,cat_4
320,2620,155,267,cat_1
321,1410,46,80,cat_3
322,1590,251,246,cat_4
323,1668,127,178,cat_1
324,1127,157,174,cat_4
325,1682,99,201,cat_0
326,2624,154,93,cat_2
327,2450,154,211,cat_1
328,1758,138,11,cat_1
329,1821,94,191,cat_0
330,1034,47,301,cat_3
331,593,183,221,cat_1
332,2481,276,289,cat_2
333,411,87,4,cat_3
334,2098,168,122,cat_0
335,3078,106,35,cat_3
336,3057,187,168,cat_1
337,188,85,83,cat_2
338,777,269,77,cat_3
339,2376,39,250,cat_3
340,564,132,69,cat_1
341,2383,221,147,cat_1
342,1972,295,177,cat_4
343,2589,130,118,cat_2
344,841,37,150,cat_1
345,2813,139,220,cat_2
346,1768,278,214,cat_3
347,5,103,31,cat_1
348,174,295,95,cat_1
349,753,24,236,cat_1
350,1041,298,305,cat_2
351,1436,181,162,cat_3
352,1830,63,187,cat_0
353,693,208,22,cat_1
354,1996,201,275,cat_4
355,2592,153,209,cat_2
356,814,296,208,cat_1
357,668,112,53,cat_1
358,2305,57,123,cat_4
359,2110,225,58,cat_0
360,762,280,126,cat_4
361,2668,82,197,cat_2
362,1883,203,256,cat_2
363,95,49,21,cat_3
364,786,201,216,cat_0
365,239,101,198,cat_4
366,445,175,114,cat_3
367,2376,73,19,cat_1
368,762,125,124,cat_4
369,1924,290,215,cat_0
370,96,305,1,cat_0
371,302,66,146,cat_4
372,2442,133,17,cat_3
373,3095,195,117,cat_3
374,360,6,9,cat_4
375,1846,129,53,cat_2
376,2313,105,122,cat_0
377,339,127,26,cat_3
378,3012,192,135,cat_1
379,1329,213,2,cat_3
380,1797,240,97,cat_1
381,1163,31,88,cat_2
382,2777,93,198,cat_4
383,237,302,142,cat_1
384,2433,60,94,cat_2
385,2299,64,287,cat_3
386,1813,188,130,cat_4
387,2011,132,38,cat_2
388,1147,143,292,cat_4
389,14,202,316,cat_0
390,622,47,138,cat_3
391,2717,140,244,cat_1
392,146,192,297,cat_4
393,613,196,84,cat_1
394,865,260,273,cat_3
395,1008,135,62,cat_0
396,2241,15,119,cat_3
397,1018,135,102,cat_4
398,492,236,59,cat_2
399,2430,157,177,cat_1
400,2483,116,128,cat_0
401,244,231,183,cat_4
402,722,25,284,cat_2
403,1726,10,149,cat_2
404,3109,22,110,cat_1
405,2948,18,64,cat_0
406,746,75,282,cat_3
407,274,170,308,cat_0
408,3018,246,290,cat_2
409,2837,218,15,cat_1
410,1453,182,32,cat_1
411,71,209,133,cat_2
412,2549,135,169,cat_1
413,422,282,223,cat_0
414,276,210,305,cat_3
415,575,12,174,cat_0
416,3031,282,7,cat_3
417,1214,90,271,cat_4
418,2757,5,305,cat_3
419,1325,220,55,cat_0
420,2634,163,27,cat_4
421,674,115,57,cat_1
422,2980,16,258,cat_3
423,1091,266,25,cat_4
424,333,219,64,cat_3
425,1707,150,195,cat_3
426,1757,66,259,cat_4
427,799,90,175,cat_0
428,175,71,22,cat_0
429,948,144,265,cat_2
430,1548,105,157,cat_4
431,29,193,122,cat_0
432,1499,81,207,cat_0
433,2846,1,231,cat_4
434,1159,48,75,cat_3
435,580,112,286,cat_2
436,448,32,284,cat_0
437,2890,55,41,cat_0
438,707,185,9,cat_1
439,2304,127,280,cat_3
440,2246,270,250,cat_2
441,332,210,240,cat_3
442,2804,176,206,cat_4
443,2190,61,31,cat_3
444,491,314,289,cat_2
445,160,186,310,cat_4
446,2072,103,310,cat_0
447,1928,279,5,cat_4
448,1129,25,167,cat_2
449,2129,22,200,cat_2
450,142,58,53,cat_3
451,680,130,149,cat_0
452,230,202,176,cat_3
453,2793,1,294,cat_2
454,3064,204,96,cat_0
455,3020,240,160,cat_3
456,718,45,38,cat_2
457,1729,53,314,cat_3
458,1491,182,313,cat_1
459,1207,230,265,cat_1
460,161,144,22,cat_1
461,2757,277,229,cat_4
462,193,70,133,cat_3
463,3061,312,52,cat_2
464,2007,125,122,cat_2
465,1947,82,195,cat_2
466,2500,175,298,cat_2
467,2751,92,260,cat_3
468,1441,235,144,cat_4
469,2678,109,229,cat_0
470,1319,1,59,cat_1
471,2338,45,185,cat_4
472,583,276,84,cat_2
473,2921,263,183,cat_3
474,1735,101,272,cat_0
475,653,140,243,cat_1
476,1845,205,222,cat_0
477,1056,313,175,cat_3
478,3111,150,206,cat_3
479,2391,14,187,cat_0
480,3028,209,234,cat_1
481,1419,32,28,cat_3
482,2635,110,170,cat_3
483,489,154,68,cat_0
484,1328,313,271,cat_2
485,2205,28,208,cat_1
486,1164,112,130,cat_2
487,1568,196,275,cat_0
488,1328,86,243,cat_0
489,306,197,31,cat_2
490,982,23,22,cat_1
491,120,109,8,cat_1
492,589,75,6,cat_1
493,2198,89,24,cat_2
494,2910,235,187,cat_2
495,1432,65,140,cat_3
496,411,17,142,cat_3
497,2045,173,210,cat_1
498,1042,54,293,cat_3
499,769,58,249,cat_2
500,1621,141,57,cat_2
501,486,105,96,cat_2
502,2533,21,186,cat_2
503,2825,52,22,cat_0
504,825,199,201,cat_0
505,2790,63,82,cat_4
506,2809,1,189,cat_4
507,2625,63,279,cat_1
508,835,138,145,cat_3
509,2246,241,301,cat_1
510,1354,14,312,cat_1
511,469,54,158,cat_3
512,1838,45,154,cat_0
513,1092,189,31,cat_0
514,3105,209,170,cat_1
515,832,168,88,cat_1
516,2260,157,51,cat_0
517,2342,289,120,cat_2
518,2487,189,18,cat_4
519,309,270,146,cat_1
520,833,52,284,cat_2
521,3142,253,296,cat_0
522,688,97,252,cat_4
523,2932,2,83,cat_4
524,2974,241,269,cat_3
525,1252,2,157,cat_0
526,2500,285,316,cat_1
527,1222,8,233,cat_1
528,2905,271,249,cat_4
529,2007,174,243,cat_3
530,333,197,55,cat_2
531,1438,55,31,cat_2
532,1288,287,219,cat_4
533,239,316,65,cat_4
534,2070,52,302,cat_4
535,1955,89,43,cat_4
536,3115,116,201,cat_4
537,2956,241,245,cat_4
538,133,260,166,cat_3
539,413,312,217,cat_3
540,156,259,52,cat_3
541,622,22,305,cat_3
542,234,279,99,cat_0
543,2537,194,91,cat_0
544,2563,84,103,cat_0
545,462,195,313,cat_0
546,1828,196,115,cat_3
547,2011,107,23,cat_0
548,1224,139,316,cat_2
549,1040,226,21,cat_4
550,2558,172,217,cat_4
551,449,305,309,cat_2
552,206,291,265,cat_1
553,1221,62,2,cat_3
554,2654,73,255,cat_4
555,3106,59,255,cat_3
556,952,113,97,cat_1
557,3077,158,201,cat_0
558,2160,251,231,cat_2
559,559,166,288,cat_3
560,3076,184,123,cat_3
561,2419,42,126,cat_2
562,6,311,185,cat_1
563,1330,246,166,cat_1
564,2535,231,230,cat_2
565,2371,23,152,cat_1
566,1943,103,299,cat_3
567,568,165,144,cat_4
568,2160,265,303,cat_0
569,2329,21,97,cat_0
570,786,216,228,cat_3
571,2363,217,48,cat_4
572,647,27,254,cat_0
573,955,126,211,cat_3
574,1206,108,140,cat_1
575,1165,59,311,cat_2
576,182,106,107,cat_3
577,2453,90,113,cat_4
578,2049,239,146,cat_1
579,3033,271,67,cat_1
580,431,40,94,cat_1
581,645,304,197,cat_1
582,2799,20,217,cat_3
583,1466,150,59,cat_4
584,1435,222,19,cat_2
585,1686,237,25,cat_4
586,1717,54,307,cat_4
587,51,217,270,cat_1
588,301,269,282,cat_2
589,2041,74,217,cat_1
590,2144,260,187,cat_2
591,2848,250,165,cat_2
592,428,76,215,cat_4
593,1647,166,46,cat_2
594,2801,237,60,cat_4
595,215,143,176,cat_4
596,2306,146,68,cat_1
597,2126,185,286,cat_0
598,3157,216,22,cat_3
599,298,229,120,cat_2
600,952,193,41,cat_2
601,10,196,114,cat_3
602,1153,276,122,cat_4
603,791,114,303,cat_1
604,1619,284,293,cat_4
605,2334,4,294,cat_1
606,215,155,227,cat_2
607,92,247,299,cat_4
608,1316,292,57,cat_2
609,114,223,259,cat_4
610,1531,76,301,cat_3
611,2608,87,30,cat_4
612,2872,177,253,cat_4
613,14,277,308,cat_3
614,1590,299,70,cat_4
615,2024,76,130,cat_2
616,795,211,23,cat_4
617,1585,33,139,cat_2
618,3020,160,283,cat_1
619,2351,86,115,cat_0
620,2063,14,50,cat_2
621,2002,34,97,cat_2
622,111,109,203,cat_3
623,885,205,15,cat_3
624,1939,23,106,cat_2
625,2193,112,282,cat_0
626,319,121,11,cat_3
627,85,248,260,cat_1
628,355,284,236,cat_2
629,2843,109,117,cat_0
630,1726,6,266,cat_4
631,962,133,301,cat_1
632,1306,250,226,cat_3
633,1552,15,313,cat_4
634,920,296,2,cat_2
635,2148,32,41,cat_1
636,89,155,203,cat_0
637,1473,260,122,cat_1
638,2749,156,33,cat_3
639,2955,234,253,cat_1
640,3147,294,287,cat_2
641,1159,206,11,cat_4
642,1626,237,107,cat_1
643,2644,198,8,cat_4
644,1362,70,159,cat_2
645,2270,173,113,cat_2
646,811,65,302,cat_2
647,646,13,4,cat_1
648,137,21,286,cat_1
649,2008,227,123,cat_4
650,3053,10,312,cat_3
651,2149,123,111,cat_3
652,702,265,287,cat_2
653,1591,265,37,cat_3
654,1789,148,308,cat_4
655,657,129,196,cat_0
656,16,81,277,cat_0
657,1834,166,77,cat_4
658,879,158,6,cat_4
659,1460,66,130,cat_1
660,2672,295,170,cat_1
661,2594,18,138,cat_1
662,2254,4,290,cat_2
663,714,46,177,cat_2
664,3017,174,83,cat_2
665,2902,178,53,cat_3
666,1346,149,230,cat_3
667,2783,194,46,cat_2
668,2998,218,58,cat_0
669,2801,124,239,cat_1
670,2516,9,216,cat_4
671,1808,156,109,cat_1
672,1149,180,167,cat_4
673,129,157,174,cat_0
674,2039,203,151,cat_1
675,3070,164,227,cat_2
676,3146,169,104,cat_0
677,670,138,181,cat_2
678,2915,127,65,cat_1
679,500,89,191,cat_2
680,2521,101,18,cat_0
681,1964,109,226,cat_1
682,753,303,118,cat_4
683,2110,39,237,cat_1
684,1752,315,133,cat_3
685,187,94,46,cat_3
686,2035,68,32,cat_4
687,1476,212,31,cat_1
688,470,249,81,cat_0
689,2833,70,32,cat_0
690,1044,31,251,cat_3
691,3040,188,100,cat_4
692,157,154,38,cat_0
693,2110,225,47,cat_1
694,2665,186,208,cat_2
695,637,259,298,cat_4
696,2371,189,75,cat_1
697,2013,209,195,cat_1
698,2905,313,306,cat_1
699,2619,232,10,cat_2
700,551,125,122,cat_2
701,1754,260,255,cat_3
702,2008,112,131,cat_0
703,189,18,270,cat_4
704,3069,159,311,cat_3
705,1727,84,291,cat_0
706,2656,259,54,cat_1
707,2607,6,148,cat_2
708,2695,65,4,cat_4
709,1634,205,303,cat_1
710,2954,19,276,cat_2
711,2047,42,247,cat_1
712,349,148,89,cat_2
713,1758,229,94,cat_0
714,622,168,5,cat_3
715,2114,306,73,cat_3
716,381,39,284,cat_0
717,2776,81,159,cat_2
718,446,78,228,cat_0
719,2632,106,209,cat_4
720,1165,77,34,cat_2
721,877,38,295,cat_2
722,1578,193,269,cat_3
723,267,72,185,cat_3
724,612,3,219,cat_1
725,593,32,301,cat_2
726,1589,111,161,cat_0
727,388,121,113,cat_0
728,2716,32,203,cat_0
729,37,299,260,cat_0
730,2264,212,258,cat_4
731,2171,314,86,cat_0
732,138,143,300,cat_3
733,68,8,153,cat_4
734,2882,136,143,cat_1
735,645,192,184,cat_4
736,2049,173,177,cat_0
737,1004,1,47,cat_2
738,1701,246,135,cat_1
739,2369,4,315,cat_3
740,746,29,277,cat_0
741,2415,146,145,cat_2
742,892,96,87,cat_1
743,259,170,265,cat_3
744,1483,260,163,cat_2
745,2156,257,57,cat_2
746,1167,189,248,cat_2
747,1675,230,215,cat_2
748,1581,295,175,cat_0
749,1963,154,234,cat_4
750,352,280,83,cat_0
751,581,216,94,cat_4
752,1695,300,1,cat_2
753,1585,119,220,cat_0
754,1149,9,275,cat_0
755,449,38,234,cat_3
756,2131,33,158,cat_0
757,1957,295,1,cat_2
758,2721,107,158,cat_4
759,1155,302,79,cat_4
760,2049,91,135,cat_3
761,2322,293,193,cat_3
762,2619,8,50,cat_3
763,1154,95,161,cat_2
764,1778,280,266,cat_2
765,154,196,226,cat_1
766,123,292,226,cat_1
767,508,165,157,cat_0
768,2411,235,205,cat_1
769,1171,36,79,cat_3
770,832,130,196,cat_4
771,1598,40,63,cat_2
772,1904,313,265,cat_4
773,39,171,117,cat_3
774,509,316,119,cat_0
775,728,107,164,cat_1
776,292,132,103,cat_0
777,2942,19,246,cat_4
778,664,143,54,cat_1
779,259,174,228,cat_2
780,2257,134,247,cat_0
781,101,188,145,cat_1
782,2161,101,86,cat_0
783,1833,264,108,cat_2
784,786,119,306,cat_4
785,687,157,253,cat_1
786,1016,107,180,cat_3
787,3125,168,284,cat_4
788,344,189,209,cat_1
789,803,40,226,cat_0
790,2772,14,84,cat_3
791,940,292,30,cat_0
792,2220,271,65,cat_1
793,1698,91,204,cat_2
794,119,213,186,cat_3
795,2192,68,75,cat_2
796,1990,113,42,cat_1
797,199,185,266,cat_1
798,1106,101,157,cat_1
799,2775,55,172,cat_1
800,1467,291,175,cat_0
801,2575,93,296,cat_0
802,2545,273,235,cat_4
803,2015,72,3,cat_2
804,1049,159,173,cat_0
805,262,56,137,cat_4
806,3087,124,2,cat_4
807,392,87,292,cat_1
808,1469,14,310,cat_0
809,2386,51,145,cat_2
810,2618,303,166,cat_3
811,1761,215,198,cat_2
812,3153,10,22,cat_2
813,2060,50,212,cat_0
814,1552,299,102,cat_3
815,1786,121,97,cat_0
816,2533,124,75,cat_2
817,2706,285,269,cat_1
818,654,165,186,cat_2
819,1018,303,20,cat_1
820,2850,287,177,cat_0
821,314,27,240,cat_3
822,833,181,96,cat_3
823,2137,282,256,cat_3
824,447,168,89,cat_4
825,2398,68,227,cat_2
826,2980,163,283,cat_3
827,893,211,312,cat_2
828,2863,9,136,cat_4
829,183,153,63,cat_2
830,335,244,37,cat_4
831,2739,227,28,cat_3
832,438,106,31,cat_4
833,2523,151,217,cat_3
834,2698,7,8,cat_4
835,2880,218,251,cat_1
836,3106,15,27,cat_2
837,1296,284,116,cat_3
838,452,157,231,cat_0
839,3138,105,139,cat_1
840,2235,272,209,cat_1
841,1325,85,107,cat_0
842,2142,201,74,cat_2
843,3138,155,92,cat_0
844,2972,204,58,cat_0
845,79,222,100,cat_0
846,1239,8,289,cat_1
847,1999,204,211,cat_1
848,2845,165,282,cat_3
849,2475,123,20,cat_2
850,1008,268,121,cat_3
851,2454,126,213,cat_1
852,2752,29,77,cat_4
853,1936,41,245,cat_2
854,1312,184,207,cat_3
855,595,112,281,cat_1
856,2431,55,210,cat_1
857,1394,199,220,cat_0
858,1494,33,226,cat_3
859,3161,40,99,cat_4
860,744,104,11,cat_3
861,2908,309,94,cat_1
862,132,104,247,cat_2
863,1432,297,229,cat_2
864,1396,6,280,cat_1
865,2544,203,23,cat_4
866,2794,294,312,cat_0
867,1426,80,145,cat_0
868,2475,4,78,cat_2
869,1680,20,16,cat_0
870,317,39,160,cat_0
871,2552,311,279,cat_4
872,1642,181,140,cat_1
873,2815,242,251,cat_2
874,3117,181,165,cat_1
875,2977,206,14,cat_4
876,2608,64,16,cat_2
877,1038,163,122,cat_2
878,317,69,22,cat_3
879,2425,60,272,cat_2
880,1736,2,232,cat_4
881,583,278,107,cat_1
882,2663,42,277,cat_1
883,222,115,80,cat_2
884,3090,46,143,cat_3
885,2390,55,203,cat_0
886,1223,161,255,cat_0
887,2411,270,275,cat_1
888,657,289,42,cat_0
889,1358,241,299,cat_4
890,245,103,202,cat_2
891,1232,14,195,cat_2
892,680,12,64,cat_1
893,2599,195,254,cat_1
894,1367,231,312,cat_4
895,2470,172,294,cat_1
896,751,108,315,cat_4
897,763,253,245,cat_4
898,2957,140,302,cat_0
899,2043,230,46,cat_3
900,2087,115,137,cat_1
901,2570,101,310,cat_0
902,843,127,250,cat_0
903,1065,294,266,cat_2
904,2026,241,294,cat_3
905,344,110,239,cat_3
906,1236,220,10,cat_2
907,1053,311,137,cat_4
908,2515,42,211,cat_0
909,2179,94,68,cat_2
910,3079,249,20,cat_4
911,276,187,235,cat_1
912,2057,316,3,cat_3
913,2510,14,24,cat_0
914,3042,215,91,cat_3
915,1837,52,200,cat_4
916,1893,236,4,cat_0
917,1676,74,217,cat_2
918,2625,7,29,cat_4
919,2788,294,88,cat_4
920,2444,132,195,cat_2
921,2592,237,265,cat_1
922,910,230,242,cat_0
923,2085,55,295,cat_4
924,570,107,34,cat_4
925,895,179,308,cat_1
926,2969,184,191,cat_1
927,2688,171,26,cat_1
928,1817,34,72,cat_4
929,2054,77,205,cat_4
930,1119,303,222,cat_0
931,2920,115,68,cat_4
932,2223,172,310,cat_4
933,316,54,84,cat_3
934,2017,227,118,cat_3
935,191,205,150,cat_0
936,1466,17,31,cat_4
937,97,67,140,cat_1
938,3072,267,173,cat_1
939,3123,10,69,cat_1
940,1642,14,45,cat_1
941,25,153,48,cat_4
942,2758,117,266,cat_1
943,2013,25,26,cat_3
944,2706,306,55,cat_0
945,263,312,270,cat_1
946,1836,67,299,cat_0
947,2620,3,154,cat_1
948,2697,235,139,cat_1
949,1140,106,295,cat_0
950,288,106,169,cat_1
951,885,218,240,cat_0
952,1905,17,200,cat_3
953,1829,132,17,cat_2
954,2665,161,165,cat_2
955,2424,288,241,cat_3
956,2048,97,254,cat_0
957,58,30,127,cat_0
958,2067,153,14,cat_2
959,1079,273,197,cat_0
960,989,102,151,cat_4
961,2638,180,208,cat_2
962,1748,295,160,cat_3
963,3117,1,70,cat_4
964,2725,82,238,cat_0
965,2530,57,288,cat_3
966,981,45,173,cat_3
967,2708,159,32,cat_4
968,734,185,139,cat_4
969,2869,64,150,cat_0
970,3024,10,282,cat_2
971,1987,251,114,cat_4
972,1878,21,241,cat_2
973,1615,101,46,cat_0
974,724,19,256,cat_3
975,854,131,259,cat_1
976,1045,58,298,cat_0
977,1927,63,237,cat_2
978,2179,285,95,cat_2
979,761,58,311,cat_3
980,336,38,261,cat_3
981,1745,244,179,cat_1
982,2280,101,211,cat_3
983,1648,152,18,cat_2
984,3101,161,89,cat_2
985,498,288,217,cat_4
986,891,259,103,cat_4
987,2534,254,312,cat_4
988,1685,85,306,cat_4
989,2454,265,45,cat_3
990,369,192,30,cat_3
991,2677,263,118,cat_4
992,816,178,103,cat_4
993,288,210,271,cat_3
994,2877,68,152,cat_4
995,493,175,113,cat_0
996,2817,81,45,cat_4
997,2846,142,119,cat_2
998,550,303,100,cat_4
999,3057,49,188,cat_4
