id,value,weight,volume,category
162,3369,853,476,cat_2
163,4291,192,277,cat_0
164,2580,44,10,cat_0
165,8390,978,613,cat_2
166,8216,440,879,cat_2
167,8698,397,923,cat_3
168,8144,826,624,cat_4
169,1924,667,37,cat_1
170,9959,963,346,cat_0
171,7832,216,84,cat_0
172,9782,580,181,cat_1
173,4896,170,778,cat_2
174,9178,94,697,cat_1
175,4433,374,317,cat_4
176,9023,48,144,cat_3
177,9739,42,353,cat_3
178,5536,353,398,cat_1
179,2164,596,653,cat_1
180,2605,443,794,cat_1
181,4248,706,429,cat_1
182,1791,746,163,cat_2
183,2773,125,127,cat_0
184,6013,922,655,cat_4
185,4905,79,196,cat_4
186,744,100,724,cat_4
187,5276,502,35,cat_0
188,1602,256,437,cat_4
189,5204,246,891,cat_2
190,9963,87,819,cat_0
191,1036,238,249,cat_1
192,3149,644,512,cat_1
193,3381,123,809,cat_0
194,2156,753,729,cat_0
195,5656,564,245,cat_2
196,943,292,77,cat_3
197,5786,478,363,cat_0
198,3909,726,709,cat_2
199,5743,36,400,cat_3
200,4376,636,229,cat_1
201,5246,416,180,cat_1
202,5994,876,20,cat_2
203,9507,202,200,cat_4
204,5446,782,241,cat_2
205,6822,685,289,cat_4
206,6996,668,48,cat_0
207,5476,568,85,cat_1
208,8480,595,51,cat_2
209,917,876,348,cat_1
210,9778,619,851,cat_1
211,9201,77,860,cat_4
212,3690,942,337,cat_1
213,5872,468,568,cat_4
214,8331,372,407,cat_2
215,7727,755,78,cat_3
216,293,454,346,cat_3
217,5302,754,777,cat_0
218,395,585,37,cat_3
219,2486,870,573,cat_0
220,9973,818,193,cat_4
221,75,754,687,cat_4
222,966,98,848,cat_1
223,4962,231,250,cat_3
224,3550,378,445,cat_4
225,9644,152,556,cat_0
226,6832,697,780,cat_2
227,5812,73,778,cat_0
228,2854,861,206,cat_2
229,4662,429,816,cat_3
230,4846,383,814,cat_3
231,1413,213,625,cat_4
232,7701,378,296,cat_4
233,7337,783,680,cat_4
234,2383,89,7,cat_4
235,9449,489,241,cat_0
236,4995,580,907,cat_0
237,439,607,636,cat_1
238,1242,495,383,cat_0
239,9334,499,472,cat_4
240,1343,294,751,cat_2
241,1293,785,258,cat_0
242,693,347,229,cat_0
243,6008,729,689,cat_4
244,70,413,532,cat_4
245,6698,786,478,cat_3
246,4509,333,91,cat_4
247,8563,927,532,cat_0
248,2048,995,722,cat_3
249,7813,953,399,cat_2
250,7637,835,735,cat_2
251,1612,653,224,cat_1
252,8578,832,642,cat_0
253,6648,175,799,cat_2
254,2507,956,185,cat_4
255,6810,729,520,cat_3
256,7428,976,988,cat_3
257,174,541,811,cat_4
258,7570,222,756,cat_0
259,2315,66,564,cat_3
260,3325,666,599,cat_0
261,293,165,770,cat_3
262,9163,841,213,cat_3
263,2745,939,779,cat_1
264,2936,333,786,cat_3
265,7884,289,115,cat_3
266,5542,467,739,cat_3
267,4445,379,562,cat_1
268,8507,372,184,cat_2
269,4650,957,633,cat_1
270,9960,959,805,cat_0
271,9785,695,947,cat_3
272,1109,315,83,cat_2
273,7526,823,837,cat_4
274,4977,708,453,cat_3
275,2590,674,10,cat_2
276,7843,142,535,cat_1
277,2584,250,66,cat_0
278,2853,281,434,cat_1
279,9648,871,116,cat_4
280,3232,70,994,cat_4
281,5569,819,66,cat_1
282,3342,638,237,cat_2
283,9781,247,734,cat_4
284,8656,916,888,cat_3
285,8452,861,209,cat_0
286,5917,117,724,cat_2
287,1461,761,114,cat_2
288,1750,172,319,cat_2
289,8437,264,736,cat_3
290,8957,186,624,cat_4
291,6181,161,301,cat_3
292,633,171,459,cat_3
293,6273,522,814,cat_3
294,5837,585,209,cat_0
295,5232,201,821,cat_4
296,5343,322,628,cat_1
297,7416,75,741,cat_2
298,5835,676,673,cat_4
299,7852,886,932,cat_0
300,7710,521,457,cat_4
301,9846,387,589,cat_1
302,7397,541,400,cat_0
303,7837,298,553,cat_1
304,4557,472,60,cat_4
305,2720,599,687,cat_2
306,9921,852,785,cat_0
307,9163,871,901,cat_1
308,7748,802,951,cat_4
309,2422,668,433,cat_2
310,6392,890,852,cat_1
311,6693,72,200,cat_3
312,7622,982,622,cat_1
313,760,159,558,cat_4
314,4305,391,810,cat_0
315,3361,653,610,cat_0
316,1705,992,176,cat_2
317,6281,892,954,cat_1
318,3937,797,949,cat_1
319,5436,740,623,cat_1
320,2280,869,300,cat_2
321,2270,663,520,cat_1
322,4228,461,382,cat_1
323,6936,658,793,cat_2
324,5775,259,239,cat_0
325,3909,903,260,cat_4
326,1205,606,864,cat_4
327,9356,611,149,cat_4
328,9407,316,255,cat_2
329,827,709,483,cat_2
330,3792,144,508,cat_4
331,5932,234,956,cat_4
332,3829,55,379,cat_0
333,5546,243,11,cat_3
334,1018,212,645,cat_4
335,7515,45,868,cat_2
336,9067,594,313,cat_1
337,3353,257,397,cat_3
338,4740,347,922,cat_0
339,7005,298,313,cat_1
340,7685,786,882,cat_0
341,1016,544,110,cat_0
342,7058,411,50,cat_4
343,6271,622,985,cat_1
344,4247,479,426,cat_2
345,7033,129,142,cat_0
346,1902,813,591,cat_4
347,8772,412,273,cat_1
348,8534,309,45,cat_1
349,2180,496,952,cat_2
350,5267,939,366,cat_0
351,425,188,979,cat_4
352,6788,144,660,cat_3
353,3754,579,547,cat_2
354,1448,884,960,cat_1
355,7611,137,597,cat_4
356,6257,18,176,cat_4
357,714,528,521,cat_0
358,8676,423,718,cat_0
359,9876,81,406,cat_2
360,4197,416,826,cat_1
361,6722,692,631,cat_4
362,5279,741,547,cat_1
363,4129,950,818,cat_2
364,1580,40,253,cat_3
365,3126,628,610,cat_2
366,9119,260,18,cat_0
367,1859,715,455,cat_1
368,4258,71,275,cat_2
369,595,286,791,cat_4
370,4393,164,243,cat_2
371,2139,498,229,cat_2
372,4840,933,70,cat_4
373,5380,963,200,cat_4
374,5879,185,166,cat_4
375,3393,150,416,cat_1
376,3638,544,76,cat_3
377,2543,991,710,cat_1
378,342,165,495,cat_4
379,9315,376,735,cat_1
380,1790,59,500,cat_2
381,6068,277,493,cat_1
382,8511,78,425,cat_0
383,321,568,643,cat_0
384,3663,826,883,cat_0
385,8071,906,813,cat_3
386,1382,266,511,cat_4
387,6014,279,155,cat_1
388,2486,185,655,cat_4
389,3065,855,258,cat_2
390,8843,48,323,cat_0
391,3238,213,143,cat_2
392,6853,428,962,cat_1
393,4492,412,967,cat_3
394,3000,215,658,cat_3
395,2854,927,976,cat_0
396,9627,150,624,cat_0
397,9276,181,772,cat_2
398,3676,83,617,cat_0
399,3451,539,581,cat_2
400,5195,37,582,cat_3
401,3273,778,729,cat_4
402,8484,705,74,cat_3
403,8009,465,648,cat_3
404,3547,568,881,cat_2
405,1405,520,102,cat_4
406,6655,401,539,cat_2
407,7675,173,231,cat_0
408,9804,389,696,cat_4
409,3736,427,555,cat_4
410,666,620,817,cat_0
411,3387,479,627,cat_3
412,7558,787,750,cat_2
413,8704,108,89,cat_2
414,7523,917,535,cat_2
415,529,809,264,cat_3
416,1285,921,224,cat_1
417,2230,886,769,cat_0
418,5405,550,623,cat_1
419,8288,362,697,cat_1
420,2336,744,785,cat_3
421,1333,526,376,cat_2
422,9370,831,106,cat_0
423,8213,652,652,cat_4
424,3998,406,512,cat_1
425,2718,194,790,cat_0
426,1343,510,599,cat_0
427,8998,17,451,cat_2
428,5738,184,52,cat_3
429,5797,489,325,cat_2
430,1555,106,614,cat_1
431,7562,434,641,cat_2
432,8012,700,740,cat_4
433,1,975,900,cat_4
434,8260,286,918,cat_4
435,1522,243,980,cat_3
436,242,102,628,cat_0
437,1692,923,185,cat_1
438,2558,62,637,cat_1
439,8632,340,883,cat_1
440,8017,551,315,cat_0
441,5108,974,518,cat_1
442,3077,582,967,cat_4
443,9220,930,729,cat_0
444,6476,367,200,cat_2
445,8783,495,638,cat_4
446,9776,678,293,cat_4
447,8801,192,278,cat_1
448,5412,375,34,cat_4
449,3294,59,450,cat_3
450,7824,764,651,cat_2
451,6295,599,705,cat_0
452,8737,72,534,cat_0
453,8456,305,519,cat_4
454,8539,230,829,cat_2
455,4082,866,835,cat_2
456,6177,125,89,cat_1
457,631,441,881,cat_1
458,7824,837,874,cat_3
459,1897,262,320,cat_4
460,3825,207,222,cat_0
461,7974,15,687,cat_1
462,4791,883,506,cat_0
463,9061,483,413,cat_4
464,8531,96,963,cat_0
465,1245,825,676,cat_3
466,3655,620,637,cat_1
467,86,34,199,cat_1
468,927,49,631,cat_2
469,8875,998,800,cat_2
470,9874,498,499,cat_0
471,8506,226,930,cat_1
472,3528,179,587,cat_1
473,6121,548,738,cat_4
474,8163,321,249,cat_0
475,8299,748,4,cat_0
476,8231,720,572,cat_2
477,9970,94,655,cat_3
478,2578,216,198,cat_3
479,7062,771,53,cat_1
480,4803,553,568,cat_3
481,7957,86,269,cat_3
482,3727,237,576,cat_3
483,5383,715,959,cat_4
484,9163,250,485,cat_1
485,9880,116,819,cat_0
486,9538,814,114,cat_3
487,6527,582,432,cat_3
488,4026,66,418,cat_1
489,5634,966,386,cat_2
490,3304,590,196,cat_3
491,4860,77,594,cat_1
492,5344,562,676,cat_0
493,6117,626,385,cat_2
494,4469,890,510,cat_1
495,1377,504,398,cat_1
496,8673,130,16,cat_3
497,9116,369,508,cat_1
498,8898,692,712,cat_1
499,5461,452,704,cat_4
500,1107,411,706,cat_4
501,1569,538,154,cat_3
502,5357,797,948,cat_3
503,3182,880,33,cat_1
504,1751,125,59,cat_0
505,7413,253,893,cat_1
506,6322,325,377,cat_3
507,3536,446,911,cat_4
508,9825,314,676,cat_0
509,5861,718,200,cat_0
510,2445,74,256,cat_2
511,3342,259,917,cat_0
512,8527,738,104,cat_3
513,222,995,65,cat_4
514,1399,546,178,cat_0
515,7182,770,344,cat_0
516,5855,197,73,cat_2
517,3799,953,134,cat_4
518,6058,533,322,cat_4
519,7086,491,753,cat_4
520,9111,483,82,cat_3
521,7753,502,154,cat_0
522,9696,957,338,cat_0
523,2868,507,710,cat_2
524,3205,957,200,cat_2
525,184,653,92,cat_2
526,5265,878,424,cat_0
527,5163,290,490,cat_0
528,9751,810,841,cat_2
529,6353,488,421,cat_1
530,1197,910,163,cat_2
531,8668,164,252,cat_2
532,7950,240,317,cat_4
533,4162,304,873,cat_1
534,217,885,229,cat_1
535,187,70,207,cat_0
536,4790,986,84,cat_3
537,1278,758,471,cat_1
538,8252,557,550,cat_2
539,7920,391,638,cat_2
540,7576,163,563,cat_4
541,164,946,750,cat_1
542,2754,33,412,cat_4
543,7022,989,895,cat_0
544,782,672,679,cat_2
545,3312,534,988,cat_0
546,5655,734,235,cat_1
547,5706,951,134,cat_4
548,9343,704,431,cat_4
549,1727,28,961,cat_2
550,5835,202,66,cat_2
551,3254,755,977,cat_3
552,7217,727,65,cat_2
553,8721,993,984,cat_4
554,6341,384,157,cat_2
555,9810,691,304,cat_0
556,7805,220,895,cat_3
557,8290,603,676,cat_2
558,7270,689,400,cat_3
559,7548,969,326,cat_1
560,2700,509,994,cat_1
561,5571,397,576,cat_1
562,6377,204,53,cat_3
563,6297,572,910,cat_1
564,6429,676,501,cat_1
565,4442,301,399,cat_1
566,1818,255,546,cat_1
567,7359,443,283,cat_2
568,2773,537,277,cat_4
569,4033,862,301,cat_3
570,3790,109,266,cat_1
571,2040,256,266,cat_0
572,8910,572,742,cat_2
573,2571,701,681,cat_4
574,5613,180,848,cat_3
575,9653,192,820,cat_0
576,1019,808,848,cat_3
577,5189,191,129,cat_3
578,3195,460,961,cat_0
579,9842,445,390,cat_2
580,5677,673,809,cat_3
581,461,682,598,cat_3
582,9306,398,618,cat_1
583,6846,169,792,cat_0
584,9017,777,272,cat_2
585,8534,251,740,cat_4
586,8427,877,689,cat_3
587,7350,605,827,cat_0
588,7562,136,831,cat_3
589,1109,482,226,cat_2
590,1020,78,481,cat_2
591,8786,211,11,cat_1
592,2489,897,132,cat_4
593,9124,804,619,cat_2
594,49,182,471,cat_3
595,4829,785,892,cat_0
596,738,254,651,cat_0
597,1204,875,104,cat_0
598,1167,264,725,cat_3
599,2408,858,348,cat_1
600,4567,96,510,cat_1
601,7177,162,818,cat_4
602,3150,117,608,cat_2
603,5797,428,314,cat_0
604,8836,982,368,cat_4
605,2384,508,876,cat_0
606,8727,858,313,cat_4
607,2362,597,360,cat_2
608,6767,273,619,cat_4
609,980,966,823,cat_0
610,2338,205,304,cat_4
611,2202,378,950,cat_3
612,9246,631,76,cat_3
613,9792,510,676,cat_4
614,9216,752,642,cat_2
615,1737,614,229,cat_0
616,9991,731,519,cat_2
617,9765,997,822,cat_4
618,3521,952,635,cat_2
619,4376,160,590,cat_3
620,7503,57,921,cat_3
621,2881,954,214,cat_4
622,501,823,800,cat_2
623,8128,944,948,cat_1
624,7819,942,196,cat_4
625,3587,413,619,cat_4
626,6411,576,233,cat_3
627,8115,154,875,cat_1
628,9217,863,678,cat_2
629,7909,268,399,cat_2
630,6619,347,17,cat_0
631,113,562,420,cat_0
632,1684,628,574,cat_0
633,8041,741,102,cat_4
634,4689,763,383,cat_1
635,4003,345,217,cat_2
636,2633,449,900,cat_1
637,3802,793,695,cat_0
638,7668,985,148,cat_2
639,3715,793,52,cat_0
640,4308,970,717,cat_4
641,5261,961,442,cat_2
642,9789,405,576,cat_3
643,1129,844,814,cat_1
644,3908,84,838,cat_2
645,2249,299,322,cat_0
646,1489,837,175,cat_0
647,6723,826,883,cat_3
648,3183,167,657,cat_4
649,7866,322,603,cat_1
650,7330,329,585,cat_3
651,1624,670,626,cat_3
652,9910,8,944,cat_0
653,9779,184,540,cat_1
654,9910,125,137,cat_0
655,9710,487,838,cat_2
656,239,528,857,cat_2
657,1990,662,344,cat_4
658,6436,517,137,cat_4
659,6455,169,789,cat_0
660,2965,35,649,cat_2
661,5728,301,698,cat_4
662,2341,318,499,cat_2
663,8757,972,988,cat_2
664,4111,683,953,cat_1
665,6661,169,647,cat_4
666,4673,79,639,cat_1
667,8614,782,191,cat_4
668,9775,512,308,cat_0
669,8194,799,950,cat_0
670,5397,485,936,cat_4
671,9048,260,266,cat_0
672,1018,299,399,cat_4
673,6786,11,599,cat_1
674,1860,908,418,cat_0
675,371,610,5,cat_3
676,5612,812,555,cat_0
677,2322,770,320,cat_0
678,3306,899,893,cat_1
679,1307,512,597,cat_0
680,5578,511,94,cat_0
681,8917,325,412,cat_2
682,2128,691,893,cat_4
683,6904,830,311,cat_0
684,6518,880,195,cat_1
685,4244,336,923,cat_0
686,7672,665,544,cat_0
687,3853,415,626,cat_2
688,878,260,592,cat_0
689,5227,163,656,cat_3
690,1652,496,968,cat_3
691,965,424,32,cat_3
692,369,273,816,cat_3
693,4123,317,82,cat_1
694,1633,948,488,cat_3
695,4125,643,770,cat_1
696,7620,994,226,cat_0
697,3700,770,230,cat_2
698,3219,319,832,cat_2
699,2117,565,676,cat_4
700,2808,16,61,cat_0
701,2495,49,732,cat_0
702,3892,523,587,cat_1
703,192,793,683,cat_1
704,4856,45,444,cat_2
705,204,834,971,cat_1
706,155,385,226,cat_3
707,4778,439,921,cat_0
708,1045,652,943,cat_2
709,5301,73,897,cat_0
710,1308,532,142,cat_3
711,2930,586,797,cat_3
712,6655,164,963,cat_3
713,3589,545,202,cat_0
714,2213,427,524,cat_4
715,3288,453,367,cat_4
716,3392,156,923,cat_0
717,6435,375,814,cat_3
718,7662,142,637,cat_2
719,7262,380,885,cat_2
720,2999,152,423,cat_1
721,1332,871,835,cat_3
722,4597,944,637,cat_3
723,6324,503,72,cat_1
724,4373,6,559,cat_2
725,73,598,986,cat_0
726,4512,380,387,cat_2
727,9112,691,345,cat_4
728,55,243,99,cat_4
729,5454,823,354,cat_3
730,6879,194,395,cat_2
731,8831,406,26,cat_0
732,6565,267,223,cat_1
733,9475,846,348,cat_1
734,1224,159,741,cat_4
735,3732,485,833,cat_0
736,2427,288,713,cat_2
737,6028,178,119,cat_1
738,125,368,508,cat_0
739,9937,612,991,cat_4
740,3315,576,545,cat_2
741,7571,810,250,cat_2
742,9042,967,63,cat_0
743,4251,606,201,cat_3
744,8748,982,352,cat_0
745,7260,744,885,cat_1
746,9307,302,216,cat_0
747,1126,143,792,cat_1
748,8008,767,967,cat_0
749,432,908,119,cat_2
750,790,130,98,cat_0
751,4829,237,103,cat_0
752,8363,451,147,cat_1
753,3974,809,300,cat_4
754,3485,597,590,cat_0
755,4821,991,837,cat_2
756,69,521,167,cat_4
757,9154,836,310,cat_3
758,4815,769,939,cat_2
759,2723,94,135,cat_1
760,5787,252,372,cat_3
761,7535,419,223,cat_1
762,4663,755,169,cat_0
763,9060,972,298,cat_1
764,4655,247,851,cat_1
765,6344,607,50,cat_3
766,2566,395,309,cat_0
767,8871,95,868,cat_3
768,1901,211,208,cat_2
769,8583,952,600,cat_4
770,7210,849,349,cat_0
771,7272,264,305,cat_2
772,4351,944,935,cat_1
773,9871,875,281,cat_1
774,2300,143,535,cat_4
775,8071,516,803,cat_2
776,4088,706,11,cat_3
777,8490,551,238,cat_1
778,9481,815,196,cat_2
779,2103,359,423,cat_3
780,3906,114,612,cat_1
781,7747,368,646,cat_3
782,9660,431,88,cat_2
783,6291,768,393,cat_2
784,4232,471,616,cat_2
785,6739,264,408,cat_3
786,5868,485,898,cat_0
787,6272,558,802,cat_1
788,6770,457,319,cat_1
789,3755,48,620,cat_3
790,3024,911,872,cat_0
791,6861,580,88,cat_0
792,2984,649,213,cat_1
793,95,870,960,cat_1
794,9014,727,721,cat_0
795,7602,486,578,cat_2
796,1620,179,857,cat_2
797,3980,568,178,cat_4
798,902,289,464,cat_1
799,9998,337,659,cat_4
800,4001,469,169,cat_0
801,8625,881,556,cat_3
802,4864,671,626,cat_0
803,6970,809,61,cat_2
804,9506,81,809,cat_2
805,7985,813,918,cat_4
806,6956,111,238,cat_1
807,1189,48,508,cat_2
808,1126,831,175,cat_1
809,4064,935,953,cat_4
810,6023,399,644,cat_1
811,8106,11,221,cat_3
812,4162,142,691,cat_1
813,6320,535,281,cat_3
814,7915,544,40,cat_2
815,2524,255,818,cat_3
816,8854,170,820,cat_1
817,8773,953,564,cat_2
818,3698,448,701,cat_3
819,8020,419,430,cat_4
820,4475,739,322,cat_3
821,6885,731,699,cat_3
822,6866,339,520,cat_2
823,3081,842,352,cat_1
824,341,994,155,cat_2
825,3246,458,128,cat_3
826,8968,584,159,cat_2
827,5756,575,810,cat_3
828,5376,379,298,cat_4
829,1429,505,209,cat_3
830,5785,811,271,cat_4
831,3684,820,901,cat_0
832,878,146,842,cat_1
833,7140,75,399,cat_1
834,7399,282,197,cat_2
835,9086,493,483,cat_2
836,2786,737,427,cat_3
837,2656,188,540,cat_2
838,4290,986,493,cat_3
839,2267,911,842,cat_1
840,9192,541,898,cat_4
841,636,995,774,cat_2
842,8195,262,515,cat_4
843,5022,908,29,cat_4
844,8305,386,955,cat_4
845,2876,738,150,cat_2
846,9000,49,692,cat_0
847,7477,621,580,cat_4
848,4486,261,960,cat_4
849,9556,54,643,cat_2
850,794,506,4,cat_4
851,4530,120,333,cat_3
852,2432,284,233,cat_4
853,1798,107,244,cat_1
854,9355,784,185,cat_3
855,138,396,649,cat_3
856,7838,480,933,cat_2
857,1071,742,800,cat_4
858,5893,768,373,cat_4
859,5953,314,518,cat_0
860,1627,669,699,cat_4
861,7177,869,512,cat_4
862,4556,219,557,cat_0
863,8725,352,549,cat_3
864,8844,277,431,cat_2
865,2596,597,742,cat_0
866,8407,313,187,cat_0
867,8772,84,599,cat_1
868,2575,286,107,cat_1
869,7128,173,770,cat_4
870,5493,61,338,cat_3
871,2039,128,45,cat_3
872,5976,90,243,cat_1
873,4583,563,464,cat_2
874,8283,899,146,cat_3
875,3900,33,531,cat_0
876,1908,201,546,cat_4
877,4971,769,59,cat_4
878,7134,99,75,cat_1
879,4731,488,249,cat_0
880,3282,137,862,cat_3
881,8755,198,672,cat_2
882,5381,215,160,cat_4
883,5068,263,825,cat_1
884,7117,438,852,cat_0
885,2361,359,360,cat_1
886,4105,162,279,cat_2
887,6519,631,494,cat_3
888,9290,956,649,cat_1
889,2393,366,920,cat_2
890,7769,836,251,cat_4
891,8368,159,6,cat_2
892,7035,750,172,cat_2
893,4797,748,999,cat_0
894,9162,335,577,cat_2
895,5759,184,29,cat_0
896,7199,21,398,cat_1
897,3273,715,653,cat_2
898,7707,205,306,cat_0
899,3983,747,260,cat_4
900,187,994,75,cat_1
901,6635,444,739,cat_2
902,3496,229,953,cat_1
903,1595,925,982,cat_0
904,109,49,848,cat_2
905,4547,976,381,cat_0
906,334,116,62,cat_3
907,471,794,411,cat_4
908,7019,13,670,cat_1
909,1560,45,414,cat_0
910,5249,664,980,cat_3
911,4394,384,515,cat_1
912,4892,385,740,cat_2
913,8645,514,118,cat_1
914,2695,746,640,cat_3
915,268,326,767,cat_3
916,4438,936,458,cat_3
917,1387,792,649,cat_3
918,8958,122,297,cat_3
919,9097,505,888,cat_1
920,9515,693,126,cat_0
921,66,111,352,cat_0
922,5131,977,526,cat_4
923,8416,461,107,cat_0
924,2094,213,411,cat_4
925,8085,678,662,cat_3
926,3658,974,239,cat_3
927,1052,293,289,cat_0
928,7643,673,392,cat_2
929,4384,364,604,cat_0
930,1234,449,556,cat_2
931,3422,101,439,cat_2
932,5132,173,838,cat_1
933,935,752,523,cat_4
934,962,853,849,cat_4
935,7406,912,187,cat_2
936,8525,142,163,cat_3
937,6443,554,689,cat_2
938,212,445,441,cat_4
939,2380,996,555,cat_0
940,65,953,430,cat_0
941,1584,958,412,cat_2
942,6429,974,461,cat_0
943,619,932,843,cat_3
944,9427,623,690,cat_2
945,7324,167,797,cat_0
946,9253,94,787,cat_2
947,4077,551,948,cat_2
948,6403,350,369,cat_3
949,1318,276,966,cat_0
950,8985,215,675,cat_0
951,1283,375,353,cat_1
952,9220,906,364,cat_4
953,1794,273,12,cat_3
954,6706,688,134,cat_0
955,314,738,824,cat_3
956,4434,738,294,cat_1
957,3495,978,567,cat_3
958,8253,403,834,cat_2
959,7524,754,930,cat_1
960,3843,696,708,cat_4
961,1304,341,897,cat_3
962,8602,998,286,cat_4
963,8959,3,761,cat_0
964,8209,152,277,cat_1
965,3911,492,508,cat_4
966,9861,888,599,cat_0
967,8150,66,48,cat_0
968,1887,720,317,cat_4
969,8300,76,479,cat_3
970,4242,132,320,cat_3
971,1828,89,792,cat_0
972,3722,72,604,cat_1
973,7163,67,849,cat_0
974,2419,680,207,cat_0
975,2871,564,977,cat_3
976,7929,943,41,cat_4
977,5307,36,92,cat_3
978,2025,117,150,cat_1
979,6662,682,784,cat_0
980,3761,857,865,cat_0
981,6991,175,628,cat_2
982,271,451,713,cat_3
983,1124,144,367,cat_4
984,1970,158,630,cat_0
985,3519,108,525,cat_4
986,3098,969,502,cat_3
987,7512,800,260,cat_2
988,957,288,296,cat_1
989,351,95,249,cat_0
990,4288,635,592,cat_2
991,8647,794,365,cat_4
992,6705,897,727,cat_0
993,5673,837,927,cat_2
994,5080,564,824,cat_3
995,3926,183,133,cat_4
996,1796,739,352,cat_0
997,4079,120,871,cat_0
998,8641,700,2,cat_0
999,6182,545,574,cat_3
1000,916,641,300,cat_3
1001,8770,352,207,cat_1
1002,8901,794,56,cat_4
1003,3559,961,373,cat_2
